"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","i","Long","lat","from","to","party_area"
"RT @GentlemanGeorge: @BethRigby Knife edge, @BorisJohnson 80 seat majority is no knife edge Beth.

#Brexit here we come.",FALSE,0,NA,2020-01-09 22:07:59,FALSE,NA,"1215394816881831938",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","YorkshireIFA",1,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"@BethRigby Knife edge, @BorisJohnson 80 seat majority is no knife edge Beth.

#Brexit here we come.",FALSE,3,"BethRigby",2020-01-09 22:06:43,FALSE,"1215326607755423745","1215394496625750016","19902709","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","GentlemanGeorge",1,FALSE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 17:11:29,FALSE,NA,"1215320199903240192",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SHBarone",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 13:11:44,FALSE,NA,"1215259864341057536",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JamesMacCleary",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 12:11:19,FALSE,NA,"1215244659640995840",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DeeKyte1",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 10:12:01,FALSE,NA,"1215214637244915712",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","martin_dickson",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 09:14:53,FALSE,NA,"1215200258311053313",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","markstraffellis",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"RT @BenChapelard: Last night @GregClarkMP voted 3 times against amendments to safeguard the rights of EU citizens living in #TunbridgeWells…",FALSE,0,NA,2020-01-09 08:43:32,FALSE,NA,"1215192368355381248",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","tuftoncroft",27,TRUE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"#Brexit #CliveLewis just got to understand echo chambers but now got to learn dog whistle politics. Leave voter = r… https://t.co/S9k8mtusKw",FALSE,0,NA,2020-01-09 08:36:47,TRUE,NA,"1215190670270509056",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","nigel070755",0,FALSE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"@ChrisGrose2 @dahontr3 @RyeRotary @marshlinktrains @1066shrimprail @SallyAnn1066 @RAYCHAPMAN1066 @Davebookless We blame #Brexit",FALSE,0,"ChrisGrose2",2020-01-09 08:18:54,FALSE,"1215171167511896065","1215186171317432320","460531548","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CrowboroughCave",0,FALSE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
