"","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"640","hey  lover  i got a sugarcane that i wanna lose in you baby can you stand the pain hey  lover  sugar do not you see  there so many things that you do to me ooo baby all i wanna see is the love in your eyes    hey  lover  and all i wanna hear is your sweet love sighs all i wanna feel is burning flames    hey  lover  tell me  tell me  baby  that you feel the same tell me that you feel the same way i do tell me that you love me girl we would be so lost  in our mouths the best  i feel it everyday  every way  you feel so wrong  be alone if you just follow somebody someday soft and wet soft and wet soft and wet soft and wet every time i am with you  you just love me to death ooo wee  baby  you leave me without breath  ooo  baby  ooo  yeah you are just as soft as a lion tamed    hey  lover  you are just as wet as the evening rain how will i take it when you call my name     hey  lover  your love is driving me you are driving me insane crazy  baby oh  girl crazy  bout your love soft and wet  you know  you are soft and wet  oh  sugar  your love is soft and wet soft and wet","soft and wet",1978,"For You",12,"92","12","1970s","Top 100","Charted"
"641","hey  lover  i got a sugarcane that i wanna lose in you  baby can you stand the pain hey  lover  sugar do not you see  there so many things that you do to me ooo baby  all i wanna see is the love in your eyes  hey  lover  and all i wanna hear is your sweet love sighs all i wanna feel is burning flames  hey  lover  tell me  tell me  baby  that u feel the same tell me that u feel the same way i do tell me that u love me girl if this is lust  then i must confess i feel it every day   mmm hmm  if this is wrong  then i long to be as far from right as i may    soft and wet soft and wet soft and wet soft and wet every time i am with you  you just love me to death ooo weee  baby  you leave me without    breath  ooo  baby  oooo  yeah you are just as soft as a lion tamed  hey  lover  you are just as wet as the evening rain i really dig it when you call my name   hey  lover  your love is driving me    you are driving me insane crazy  baby oh  girl crazy  bout your love soft and wet  u know  you are soft and wet  oh  sugar  your love is soft and wet soft and wet","soft and wet 2",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"642","so low  the curb looks like a skyscraper so high  the stars are under me so quiet  i can hear the blood rushing through my veins so low  i feel like i am going insane the angels  they watch in wonder when you made love to me through the rain and the thunder you cried in ecstasy you were so kind i felt sorry for all creation  cause at the time no one was lucky no one was lucky  no one was lucky as me and now you are gone and i just wanna be still so silent  i will just let my senses sleep it gonna be so hard to hear my voice if i ever learn once more to speak i am so lost  no one can find me i have been looking for so long but now i am done i am so low  solo my name is no one","solo",1994,"Come",NA,NA,NA,"1990s","Uncharted","Uncharted"
"643","prince miscellaneous some kind of lover baby  i need u so bad  best   love i have ever had  u are the sunshine that lights up my day  in the night time  u are the only way  u are some kind of lover and u are mine  all mine  u are some  kind of lover   ooh  oh baby  u are some  kind of lover   ooh  honey  u are some  kind of lover   more bottle of some  kind of lover   lover  when i say i love u  just can not believe that it true  ai not no denying what i am tryin  2 say  oh  u are oh so good in every way  u are some kind of lover and u are mine  all mine  u are some  kind of lover   oh baby  u are some  kind of lover   baby  do not let go  i do not wanna be free  come on baby  come with me  boy  u got me hooked and i am willingly tied  i wanna make it so satisfying  u are some kind of lover and u are mine  all mine  u are some  kind of lover   ooh  oh baby  u are some  kind of lover   oh yeah  oh honey  u are some  kind of lover   oh baby  u are some  kind of lover   lover  oh yeah  kind of lover   ooh  oh yeah  kind of lover   oh honey  u are some  kind of lover   oh baby  u are some  kind of lover   lover   kind of lover   repeat in bg   remember that time on the beach  oh  i will never forget it  it was the first time  what do u say  u wanna go again   oh  come on honey  oooh  oh  mmm  yeah  faster  faster  faster  faster  oh faster  faster  ahh   i am embarrassed","some kind of lover",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"644","somebody somebody  somewhere  someone it 2 o clock in the morning and i just can not sleep outside the rain is pourin   i am lonely as can be maybe tonight will be different than the nights before i need to feel someone beside me  i can not be alone no more tonight i wanna be somebody somebody tonight i wanna belong to someone  someone  tonight i wanna be somebody somebody tonight i want somebody that will do it  til the job gets done  oh yeah  this big ol  world can be so empty livin  in it all alone i realize  in its best disguise  a pretty house do not make a home there a hunger deep inside of me  how the fire burns i wanna give good love to someone and get good love in return  oh tonight i wanna be somebody somebody tonight i wanna belong to someone  someone  tonight i wanna be somebody somebody tonight i want somebody that will do it  til the job gets done  oh yeah  somebody somebody someone i wanna be somebody body oh yes  oh yeah someone to hold me in that hour midnight someone to console me when things ai not goin  to right someone to bring me dinner sometime  yeah  mine  all mine  somebody i can call all mine it 2 05 in the morning and i got no one to call i am longin  to hear another voice inside these lonely walls  lonely walls  maybe tonight will be different  different  than the nights before  maybe not  i need to feel someone beside me  i cannot be alone no more  no more  no more  tonight i wanna be somebody somebody tonight i wanna belong to someone  someone  tonight i wanna be somebody somebody tonight i want somebody that will do it  til the job gets done  oh yeah  tonight i wanna be somebody somebody tonight i wanna belong to someone  someone  tonight i wanna be somebody somebody tonight i want somebody that will do it  til the job gets done  oh yeah  somebody somebody i do not wanna be alone  no no i do not wanna wait another day  no i will do it over and over and over and over  yeah ooh  i do not wanna wait  no can i belong to you  baby  oh yeah  i wanna belong to someone  ooh  slow  deep and long do me over and over and over and over  tonight i wanna be somebody somebody  oh  yeah if you are out there  come on  baby i will keep it hot for you  tonight i wanna be somebody somebody  come on  baby  tonight i want somebody that will do it  til the job gets done  oh yeah  done somebody somebody","somebodys somebody",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"645","some people tell me i got great legs ca not figure out why you make me beg does not compute  do not not compute you think you are special  well so do i why do special women make me cry  does not compute  it do not not compute must be something in the water they drink it been the same with every girl i have had must be something in the water they drink  cuz why else would a woman wanna treat a man so bad  some people think i am kinda cute but that do not compute when it comes to you it do not compute  somethin   mama  do not compute what the hangup  what the scam  guess you think i am just another one  one of your fans it do not compute  somethin   honey  do not compute must be something in the water they drink it been the same with every girl i have had must be something in the water you drink  cuz why else would a woman wanna treat a man so bad  i have got to get to you  baby some people think i am kinda smart why must a fella stop with you before he starts  it do not compute  mama  somethin  do not compute i would buy you clothing  buy you fancy cars but you gotta talk to me  baby  tell me who you really are must be something in the water they drink it been the same with every girl i have had must be something in the water you drink why else would a woman wanna treat a man so bad  must be something in the water they drink must be something in the water they drink must be something in the water they drink must be something in the water they drink must be something in the water they drink must be something in the water they drink must be something in the water they drink must be something in the water they drink must be something in the water they drink must be something in the water they drink why  why  i do love you  i do or else i would not go through all the things i do","something in the water",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"646","some people tell me i have got great legs ca not figure out why you make me beg does not compute  do not not compute you think you are special  well so do i why do special women make me cry  does not compute  it do not not compute must be something in the water they drink it been the same with every girl i have had must be something in the water they drink  why else would a woman wanna treat a man so bad  some people think i am kinda cute but that do not compute when it comes to y o u it do not compute  so mama do not compute what the hangup  what the scam  guess you think i am just another one  one of your fans do not compute  somebody do not compute must be something in the water they drink it been the same with every girl i have had must be something in the water you drink why else would a woman wanna treat a man so bad  i have got to get to you  baby some people think i am kinda smart why must a fella stop with you before he starts  does not compute  mama  some do not compute i would buy you clothing buy you fancy cars but you gotta talk to me  baby tell me who you really are must be something in the water they drink it been the same with every girl i have had must be something in the water you drink why else would a woman wanna treat a man so bad  yeah must be something in the water you drink does not compute  does not compute does not compute must be something in the water you drink    you think you are special     must be something in the water you drink  so do i  second coming  must be something in the water you drink  why in god name do you wanna make me cry  why  why     must be something in the water you drink  must be something in the water you drink    i would do anything for you  anything  must be something in the water you drink    talk to me  tell me who you are  must be something in the water you drink must be something in the water you drink must be something in the water you drink why  why  i do love you  i do or else i would not go through all the things i do","something in the water does not compute",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"647","this is something you already know i love it when your body all up close to me all up close to me  i love it all up close to me i love it when your body all up close to me i love it  all up close to me  close to me woke up this morning with a smile on my face and the sweet aftertaste of loving you without a warning i felt the whole earth shake thinking  bout the love we make and boy it true i had some trouble walking and only heaven knows that finding all my clothes would be a miracle everything i do is better  cause the serotonin flow is such that the simplest things with you are never dull  no i am only telling you what you already know baby you know  you know  you know i love it when your body all up close to me all up close to me  i love it  i love it if you could see me now hanging with my friends the fun it never ends it  cause of you  oh baby yes we will be sho  nuff kicking it later on tonight in your favorite dress alright and we will be ooh doing what we do  back and forth on a rocking horse a fantasy is better in real life of course unless of course the name of that stallion me to the east and the west coast  south and north around the world baby and then some more with you that when real life better than fantasy feel me i am only telling you what you already know know  know  know telling you what you already know you know this i love it when your body all up close to me all up close to me  i love it all up close to me i  i love it when you tell me stories straight from the dome about how your favorite song is home i love it  i love it  i love it baby i love it when you kiss me  yeah you know right there and when i tell you to lower your pitch you get so deep  it hard to bear i love it when you pull my hair gently baby  i do not care go ahead and pull it  do not be scared i love  i love it  i love it when i love it when your  i love it when your face i love it when your face is like a treasure buried in the pot of gold at the end of the rainbow  come on  come on taste the rainbow  come on  come on i am only telling you something  only telling you something i am only telling you something that you only telling you something you already know i am only telling you what you already know","something u already know",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"648","prince miscellaneous sometimes i get lonely hey girl  when are u comin  back   do not know what i am supposed 2 do 2 fill this emptiness  never thought i would miss u  but this feelin  i can not hide  it comes in the middle of the day and it stays through the night   sometimes i get lonely  when it late at night   i think of u only  when i want 2 hold somebody tight   sometimes i get lonely  and filled with emptiness  yeah   sometimes i get lonely  4 love  baby  let me slow this thing down  think i need a change of pace  think i will spread myself around  there only so much time in a day and i have got things 2 do baby  so i am not gonna spend my time waiting on u   sometimes i get lonely  u better come home  yeah   i think of u only  when i want 2 hold somebody tight   sometimes i get lonely  and filled with emptiness  yeah   sometimes i get lonely  4 love  ohhhh   sometimes i get lonely  when it late at night   i think of u only  when i want 2 hold somebody tight   sometimes i get lonely  and filled with emptiness   sometimes i get lonely  4 love   u are leavin  home  so when u are leavin  home   call me  and u are not comin  right back  oh  oh  oh   just let me know so i can find some happiness somewhere else  so what it gonna be baby   i think it about time u start thinkin  about me  oooh  do not make me wait baby  if u know what i am talkin  about  fellas  help me out   sometimes i get lonely   hey girl  yeah   i think of u only  when i want 2 hold    hold u   sometimes i get lonely  and filled with emptiness  hey girl   sometimes i get lonely  4 love   sometimes i get lonely   when it late  when it late at night  yeah   i think of u only  when i want 2 hold somebody tight   sometimes i get lonely  and filled with emptiness  hey girl   sometimes i get lonely  4 love   sometimes i get lonely   baby  u do not know how it feels when it late at night   i think of u only  when i wanna hold u  when i wanna squeeze u tight   sometimes i get lonely  2 night i am lonely  yeah   sometimes i get lonely  4 love  4 love  hey yeah   if u want 2 please me  please do not tease me   do not make me wait girl   if u want 2 please me  please do not tease me   i want 2 hold your body tight   if u want 2 please me  please do not tease me   so what it gonna be baby   sometimes i get lonely  x4 ","sometimes i get lonely",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"649","tracy died soon after a long fought civil war just after i would wiped away his last tear i guess he better off than he was before a whole lot better off than the fools he left here i used to cry for tracy  cause he was my only friend those kind of cars do not pass you every day i used to cry for tracy  cause i wanted to see him again but sometimes sometimes life ai not always the way sometimes it snows in april sometimes i feel so bad  so bad sometimes i wish that life is never ending all good things  they say  never last springtime was always my favorite time of year a time for lovers holding hands in the rain now springtime only reminds me of tracy tears always cry for love  never cry for pain he used to say so strong  oh i am not afraid to die i am afraid of the death that left me hypnotized  now  staring at his picture i realize no one could cry the way my tracy cried sometimes it snows in april sometimes i feel so bad sometimes i wish that life was never ending all good things  they say  never last i often dream of heaven and i know that tracy there i know that he has found another friend maybe he found the answer to all the april snow maybe one day i will see my tracy again sometimes it snows in april sometimes i feel so bad  so bad sometimes i wish that life was never ending but all good things  they say  never last and all good things they say  never last and love  just is not love until it passed","sometimes it snows in april",1986,"Parade",NA,NA,NA,"1980s","Uncharted","Uncharted"
"650","i know you are out there i can feel your eyes on me seen that face a thousand times if only in my dreams i know you really want me i can feel your hands on me i really wanna touch you too in a way i am much too shy to speak and even though i am all alone for what it worth you are somewhere here on earth and i like it i know you are out there i can feel you getting closer to me now i am just wondering what you are waiting for you know i am free in this digital age  you could just page me i know it a rage  but it just do not engage me like the face to face do you want to do this at yours or my place  it been so long since i been with somebody like a million years now you are here on earth you are here  you are here somewhere here on earth i like it  i like it listen i know you hear me like a whisper in your ear you do not have to fear me you are everything i hold so dear i know you already love me you are probably just too cool to say somebody somewhere put you down but that okay  that okay  cuz whenever you feel it time to heal  no  no more as long as i am here on earth","somewhere here on earth",2007,"Planet Earth",NA,NA,NA,"2000s","Uncharted","Uncharted"
"651","dear future generations  i think i speak for the rest of us when i say  sorry  sorry we left you our mess of a planet  sorry that we were too caught up in our own doings to do something  sorry we listened to people who made excuses  to do nothing  i hope you forgive us  we just did not realize how special the earth was  like a marriage going wrong  we did not know what we had until it was gone  for example  i am guessing you probably know what is the amazon desert  right  well believe it or not  it was once called once called the amazon rain forest  and there were billions of trees there  and all of them gorgeous and just um  oh  you do not know much about trees  do you  well let me tell you that trees are amazing  and i mean  we literally breath the air they are creating  and they clean up our pollution  our carbon  store and purify water  give us medicine that cures ours diseases  food that feeds us  which is why i am so sorry  to tell you that  we burned them down  cut them down with brutal machines  horrific  at a rate of 40 football fields every minute  that 50  of all the trees in the world all gone in the last 100 years  why  for this  and that would not make me so sad  if there were not so many pictures of leaves on it  you know when i was a child  i read how the native americans had such consideration  for the planet that they felt responsible  for how they left the land for the next 7 generations  which brings me great sorrow  because most of us today  do not even care about tomorrow  so i am sorry  i am sorry that we put profit over people  greed over need  the rule of gold above the golden rule  i am sorry we used nature as a credit card with no spending limit  over drafting animals to extinction  stealing your chance to ever see their uniqueness  or become friends with them  sorry we poison the ocean so much that you can not even swim in them  but most of all  i am sorry about our mindset  cause we had the nerve to call this destruction  progress  hey fox news  if you do not think climate change is a threat  i dare you to interview the thousands of homeless people in bangladesh  see while you was in your penthouse nessel  their homes were literally washed away beneath their feet due to the rising sea levels  and sara palin  you said that you love the smell of fossil fuels  well i urge you to talk to the kids of beijing who are forced to wear pollution masks just to go to school  you see you can ignore this  but the thing about truth is  it can be denied  not avoided  so i am sorry future generation  i am sorry that our footprints became a sinkhole and not a garden  i am sorry that we paid so much attention to isis  and very little how fast the ice is melting in the arctic  i am sorry we doomed you and i am sorry we did not find another planet in time to move to  i ams    you know what  cut the beat  i am not sorry  this future i do not accept it  because a error does not become a mistake  until you refuse to correct it  we can redirect this  how  let me suggest that if a farmer sees a tree that is unhealthy  they do not look at the branches to diagnosis it  they look at the root  so like that farmer  we must look at the root  and not to the branches of the government  not to the politicians runs by corporations we are the root  we are the foundation  this generation  it is up to us to take care of this planet  it is our only home  we must globally warm our hearts and change the climate of our souls and realize that we are not apart from nature  we are a part of nature  and to betray nature is to betray us  to save nature  is to save us  because whatever you are fighting for  racism  poverty  feminism  gay rights  or any type of equality  it will not matter in the least  because if we do not all work together to save the environment  we will be equally extinct  sorry ","sorry baby",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"652","prince miscellaneous soul psychodelicide can we talk about soul   good judy wanna dance 2 this   listen cash  i do believe     i do believe that i wanna battle 2night  listen cash  ooh   do not be sad  there nothing wrong with your player  we have taken control as we bring u the new power     chorus   soul psychodelicide  it a heavenly thing   soul psychodelicide  it a heavenly thing   soul psychodelicide  it a heavenly thing   soul psychodelicide  the maxi pump of power  good judy wanna fly the kite  the maxi pump of sheer delight  guaranteed 2 pump your body right    skippy  we been here before  we   re just comin  on harder now  hard on this feeling  holy steppin    on solid ground  oh we oh   good judy wanna hear us sing   chorus   the maxi pump    u wanna try it 2night    all over the world there   s a new soul goin  on  brand new singer singin  a brand new song  of an age old story  still got 2 be told  the spirit can not be bought and it can not be sold  because it dwells so deep inside u  no king could put it there  2 get it  u gotta want it  u gotta need it  u gotta care  i am talkin  about     chorus  good judy gotta dance 2 this  every time u cock it i can hit u on the up  i got a funky drummer and he just can not get enough  if u cannot cock it  less the bass is on the floor  then i will have my mixer give u just a little more  oh we oh   i wanna battle 2night  good judy over there with the smoking jacket on  look at that body pumpin   move that body strong  oh we oh    soul psychodelicide   x2     skippy  we been here before  we   re just comin  on harder now  hard on this feeling  holy steppin    on solid ground  oh we oh  x2     soul psychodelicide   judy go   n say that   oh we oh   soul psychodelicide   judy wanna hear me sing   chorus   oh yeah   3 month in  we got 9 2 go  anybody in the house wanna stop this show   hell no    the people keep goin  on  soul goes on and on  x2    keep dancin  till dawn  the soul that never stops  it just goes on and on and on and on      soul goes on and on   repeat    chorus   repeat   i do believe that i am diggin  your house  and like a beautiful raging fire  your heart is ready 4 a high  good judy need 2 do it   psychodelicide  over and over  repeat   and do it   psychodelicide  do it   psychodelicide  put your hand on my temple  put your hand on my heart  grind your hips next 2 mine  do not u pull apart  do not pull apart  psychodelicide   do not u pull apart  chorus  repeat till end    soul goes on and      i can not stop this feeling i got  x4 ","soul psychodelicide",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"653","prince miscellaneous soul psychodelicide   2  this is a fuzztone reality  all the high tech muzac in the world  ca not distort the flashback feedback  black light day glow rock star lover perception of a party  they have a wah wah memory  totally rewind 4 soul psychedelica  oh  hold it  stop   cloreen baconskin sample   can we talk about soul   what is the booty and how will i know if i am shakin  it    good judy wanna dance 2 this    what is the funk and how will i know if i am fakin  it   x2   what is the booty and how will i know if i am shakin  it   what is the funk and how will i know if i am fakin  it   listen cash  ooh   do not be sad  there nothing wrong with your player   we have taken control   we have taken control as we bring u the new power     chorus   soul psychodelicide  it a heavenly thing   soul psychodelicide  it a heavenly thing   soul psychodelicide  it a heavenly thing   soul psychodelicide  the maxi pump of power  good judy wanna fly the kite  the maxi pump of sheer delight  guaranteed 2 pump your body right    skippy  we been here before  we are just comin  on harder now  hard on this feeling  holy steppin  on solid ground  oh we oh   good judy wanna hear us sing   chorus   the maxi pump    u wanna try it 2night    all over the world there a new soul goin  on  brand new singer singin  a brand new song  of an age old story  still got 2 be told  put your foot on the rock  let see what u got  if u are funkin  in the red  psychedelic  hot  soul  chorus   this is the place 2 showcase your body skills  baby    good judy gotta dance 2 this   what is the booty and how will i know if i am shakin  it    every time u cock it i can hit u on the up   what is the funk and how will i know if i am takin  it    i got a funky drummer and he just can not get enough   what is the booty and how will i know if i am shakin  it   what is the funk and how will i know if i am fakin  it   this is the place 2 showcase your body skills  baby   if u cannot cock it  less the bass is on the floor   this is the place 2 showcase your body skills   then i will have my mixer give u just a little more   oh we oh    i wanna battle 2night   good judy over there with the smoking jacket on  mm  well well well    look at that body pumpin   look at it   move that body strong  shake your money  baby   oh we oh    soul psychodelicide   x2   oh yeah      skippy  what is the booty and how will i know if i am shakin  it   soul   hard on this feeling  holy steppin  on solid ground  i am cookin    put it in the oven and then u know u are bakin  it  put it in hot water and u know u are boilin  it  put it in the oven and then u know u are bakin  it  soul psychedelic  soul psychedelica  chorus  3 month in  we got 9 2 go  anybody in the house wanna stop this show   hell no     the people keep goin  on   soul goes on and on  x2     keep dancin  till dawn    the soul that never stops    it just goes on and on and on and on       soul goes on and on   repeat    chorus   repeat    i do believe that i am diggin  your house    and like a beautiful raging fire    your heart is ready 4 a high    good judy need 2 do it   psychodelicide    over and over   repeat    and do it   psychodelicide    do it   psychodelicide    put your hand on my temple    put your hand on my heart    grind your hips next 2 mine    do not u pull apart   psychodelicide  do not pull apart     do not u pull apart    soul goes on and       chorus   this is the place 2 showcase your body skills  baby  pump it like a hunk of funk enveloping your body 2day  solid as a rock  we roll all over u  good god   pumpin  it with a big pump  this feeling i got   pumpin  it with a big pump  i can not stop this feeling i got   pumpin  it with a big pump  humpin  it with a big hump  pumpin  it with a big pump  what is the booty and how will i know if i am shakin  it   yeah   put it in the oven and then u know u are bakin  it  soul psychodelicide  x6   rock  rock the body  rock  rock the body  baby  out on the dance floor  when the music stop  baby begging u 4 more  cuz the     me rockin  like a rock star  woo woo woo woo   we be funkin  over here  over there ai not    x4   soul psychodelicide  repeat till end   ahhh    x2   solid as a rock  repeat   fadeout ","soul psychodelicide 2",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"654","loving you in silence  knowing that it right under your gaze i ponder this love tonight unbothered by the chaos swirling  round outside in your arms is where i want to live and die someplace where your face is all that i see where the love we make intoxicates intensively in a mirror where your sweet reflection used to be there is hope  there is joy  my soul sanctuary  my soul sanctuary loving you in silence  never ending kiss under your gaze i can peacefully exist sanctuary baby  nothing compares to this in my darkest hour you can be my bliss  bliss all of me  i give to thee  down at your feet the reassurance in your rhythm speaks to me over and over  your s s are like a prayer in the dark  you are there  you are there my soul sanctuary  ooh  my soul sanctuary loving you in passion unmolested in this garden mango and nectarine  sweet honeydew  i beg your pardon my mouth runneth over from ecstasy it true  it true baby  i love the taste of you loving you in silence  knowing that it right under your gaze  i ponder this love tonight unbothered by the chaos swirling around outside in your arms is where i wanna live and die someplace  someplace  where your face is all that i see  all that i see where the love we make intoxicates intensively  intensively in a mirror  mirror  where your sweet  sweet  reflections used to be there is hope  there is joy  my soul sanctuary  my soul sanctuary my  my  my  my  my soul  my soul sanctuary  oh  my soul sanctuary","soul sanctuary",1996,"Emancipation",NA,NA,NA,"1990s","Uncharted","Uncharted"
"655","space i have never been one to hide my feelings baby  you blow my mind i painted your face upon my ceiling i stare at it all the time i imagine myself inside your bedroom oh  i imagine myself in your sky you  you are the reason there bass in my boom oh you  you are the reason i am high if you and i were just ten feet closer then i would make you understand everything i wanna do to your body  baby i would do to your head then you would be hip to the deep rush deeper than the boom of the bass with every other flick of the pink plush the closer we get to the space the space the space the space do not you want to go  the space where the souls go the space where the tears flow the space where the love grows do you want to go  i never been one for this thing obsession but just keep your eye on my hips the circles they may be my confession just say the word and i will strip i have had dreams of us cuddling on the planet mars then when i wake up  i am all covered in sex with eyes that fall somewhere between rubies and stars do not look at me baby or i will flex if you and i were just ten feet closer then i would make you understand that everything i wanna do to your body  baby i would do to your head then you would be hip to the deep rush deeper than the boom of the bass with every other flick of the pink plush the closer we get to the space the space go the space flow the space grow do you want to go  the space where the souls go the space where the tears flow the space where the love grows do you want to go  bass the space  the space  the space the space  the space  the space closer we get to the space the space  the space  the space  the space","space",1994,"Come",71,"-","71","1990s","Top 100","Charted"
"656","prince miscellaneous space  funky stuff dub   controversy music  ascap   1994    ai not gonna stop  till you give me some of that funky stuff  ai not gonna stop   space  till you give me some of that funky stuff  i never been one 2 hide my feelings  baby  u blow my mind  ow  i painted your face upon my ceiling  i stare at it all the time  yow   i  imagine myself inside your bedroom    oh  i  imagine myself in your sky   u  u are the reason there bass in my boom   oh  u  u are the reason i am high  ow  if u and i were just ten feet closer  then i would make u understand  that everything i wanna do 2 your body  baby  i would do 2 your hand     then u would be hip 2 the deep rush  deeper than the boom of the bass  with every other flick of the pink plush  the closer we get 2 the space   the closer we get 2 the space   ai not gonna stop       the space   till you give me some of that funky stuff  oh  do not u want 2 go    ai not gonna stop       where the souls go         the space         where the tears flow   till you give me some of that funky stuff  where the love grows         do u want 2 go    i never been one 4 this thing obsession  but just keep your eye on my hips  ow  the circles they make will be my confession  just say the word and i will strip  yow  i have had dreams of us cuddling on the planet mars  then when i wake up  i am all covered in sex  with eyes that fall somewhere between rubies and stars  please do not look at me girl or i will flex  yow  ow  do not look at me baby   if u and i were just 10 feet closer   then i would make u understand  that everything i wanna do 2 your body  baby  i would do 2 your hand  then u would be hip 2 the deep rush  deeper than the boom of the bass  with every other flick of the pink plush  the closer we get 2 the space    ai not gonna stop    go        the space        flow   till u give me some of that funky stuff  grow        do u want 2 go    i ai not gonna stop    where the souls go        the space        where the tears flow   till u give me some of that funky stuff  where the love grows        do u want 2 go         space   funk funk funky stuff  bass  i ain i ai not gonna stop   till u give me some of that funky stuff   i ai not gonna stop   i ai not gonna stop   till u give me some of that funky stuff  i ai not gonna stop   i ai not gonna stop   till u give me some of that funky stuff   i ai not gonna stop   i ai not gonna stop   till u give me some of that funky stuff  space        the space        the space ","space funky stuff dub",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"657","prince miscellaneous splash i called you on the phone you knew it was me all along you did not even say hello  cause you do not need words to let me know all the things that you do to me  you fulfill my every fantasy  splash   i am under your power splash   i could go for hours  splash   you could devour me and i would only want you more  oh  when you make love to me there things i never thought i would see  i cherish             in every sea oh  i love when you play with me ask your mom if you could stay with me  splash   i am under your power splash   i could go for hours  splash   you could devour me and i would only want you more  our love is a rhythm together we will have so much fun  you go from room to room leaving traces of your sweet perfume if i could i would bottle it  everybody should know the feelin  i get when i am in your cool embrace your lips  your arms  your legs  your face  splash   i am under your power splash   i could go for hours  splash   you could devour me and i would only want you more  i want you more and more and more  splash splash splash splash splash splash ","splash",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"658","who will b a guest in ur tent  certainly not the ones who do not wanna repent and keep giving guns 2 the poorest of our nation sons who is gonna call u by name with no confusion  trinity or preacher vain  who says that every time and opens up the eyes of the blind  who will b the 1 in his bed  certainly not the 1 who put the thorns on his head and wished him dead while they took his daily bread which 1 is of value to u  the 1 depleting the oil supply or the one that renews it  and keeps the peace like the groove in sade sweetest taboo give it to me  give it to me the sweetest give it to me  give it to me ooo  give it to me  give it to me the sweetest who will b a guest in ur tent  r u gonna b happy with how ur life is spent  did u have open arms 4 each and everybody u met  or did u let them die in the rain endless war  poverty or hurricane  it time 4 another groove like sade sweetest taboo oh  give it to me  give it to me the sweetest oh  give it to me  give it to me oh  give it to me  give it to me the sweetest c amon  c amon oh  give it to me  give it to me the sweetest give it to me  give it to me oh  give it to me  give it to me the sweetest oh yeah  to the breakdown be cool everybody new orleans ","sst",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"659","prince miscellaneous s t    alright  sample repeats through song   yo tony  man  check that out  ah man  u late  that already cash  skin tight   this is mine  let me push up on it  yeah   excuse me  they call me skin tight   excuse me  may i have this dance   what my name    u better chill  hmph  what your name   my name is carmen  yeah  skin tight   carmen  yo ron  later  yeah   hmm baby  hmm baby  sure lookin  kinda right  i must say the future sure looks bright  ooh  u like this  do ya   but does it move ya   wipe your mouth  composure is gone  u are not 2 smooth  ah  hold up baby  i do not think u understand what i am sayin   i am never first 2 approach  i am usually layin   but what u layin  4   u got 2 go 4 yours  ai not that right   now what your name   they call me skin tight  u know that right  what my name  skin tight  mm mm mm   skin tight  yeah   what my name  skin tight  this is mine  baby  baby  come over here  let chill and sit down  those skin tight britches bustin  stitches make me wanna clown  u are kinda cute but your approach is wrong  i like the little boy in u and not the man that tryin  2 be sprung  what do u mean   enough questions  let have fun  besides  i hate it when a brother got it goin  and he plays dumb  confidence is the one thing i like  and i thank god because he packaged it right  yeah  ha ha ha     skin tight  mm mm mm      what my name  skin tight  that right   skin tight  yo  that right  let get outta here   i will drive  it ripe  but firm  ooh ooh  that right  that right   carmen   smile when u say that whistling  what do u mean    carmen   what my name  skin tight  u better chill  skin tight  that right   u better chill  skin tight   i used 2 hear that back in the day  yo bet  that why it ai not played  the 90 are here   what do u most fear   it surely ai not my body cuz i got u grinnin  from ear 2 ear     that was hard  u pulled my card  make me wanna bogard  patience baby  a man who waits i hold with high regard  like fine wine it takes time before a relationship is firm  and my time u must earn  and i am willing  yeah  but are u able   skin tight  what do u mean    yeah   this is mine  baby  skin tight  come here   crawl here  mmm mmm  yeah  they call me skin tight  u say u like the line that goes up the back of my stockings    yeah  i like that    yeah    ha ha ha    x4   skin tight  what my name  skin tight  lookin  kinda right    whatever u wanna do now  plan it out   pardon me while i make a withdrawal  skin tight   there somethin  about this love   repeats in bg   not bad 4 a rookie  i am outta here  now what my name   carmen   ooh  skin tight  yeah  yeah   ooh  that right   this is mine  baby  skin tight  this is mine  baby  skin tight","st",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
